Unnamed: 0,Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_minute,Arrival_hour,Arrival_minute,dur_hours,dur_minutes
5419,Jet Airways,Banglore,New Delhi,1 stop,11087,18,3,11,40,5,5,17,25
10188,Jet Airways,Mumbai,Hyderabad,non-stop,5678,6,5,19,35,21,5,1,30
8279,IndiGo,Kolkata,Banglore,1 stop,3574,9,4,19,20,23,45,4,25
3313,Jet Airways,Mumbai,Hyderabad,non-stop,3210,6,5,2,55,4,20,1,25
4427,Jet Airways,Kolkata,Banglore,1 stop,7064,1,4,16,30,22,35,6,5
8224,Multiple carriers,Delhi,Cochin,1 stop,7005,6,6,12,50,21,0,8,10
10231,Jet Airways,Kolkata,Banglore,1 stop,11467,15,5,9,35,14,25,28,50
8853,Air India,Kolkata,Banglore,1 stop,10203,9,5,10,0,23,15,13,15
273,Multiple carriers,Delhi,Cochin,2 stops,18275,6,6,17,50,1,30,7,40
860,IndiGo,Banglore,New Delhi,non-stop,6144,3,3,0,40,3,25,2,45
4134,IndiGo,Banglore,Delhi,non-stop,5740,18,4,8,30,11,20,2,50
9382,Air India,Delhi,Cochin,2 stops,12760,6,6,17,15,19,15,26,0
5172,Air India,Kolkata,Banglore,2 stops,13033,9,6,7,0,1,20,18,20
754,Air Asia,Delhi,Cochin,1 stop,8759,9,6,7,55,13,25,5,30
1863,Air India,Delhi,Cochin,2 stops,14746,6,3,12,0,7,40,19,40
8501,Air India,Kolkata,Banglore,1 stop,12173,24,3,20,30,16,15,19,45
5353,Air India,Mumbai,Hyderabad,non-stop,3100,1,6,6,20,7,40,1,20
1681,Jet Airways,Delhi,Cochin,1 stop,14714,12,6,9,0,19,0,10,0
5729,Jet Airways,Delhi,Cochin,1 stop,12373,18,5,2,15,4,25,26,10
7888,SpiceJet,Banglore,Delhi,non-stop,4423,18,5,9,30,12,20,2,50
8958,Multiple carriers,Delhi,Cochin,1 stop,12524,24,6,6,0,19,0,13,0
6031,SpiceJet,Kolkata,Banglore,non-stop,3815,21,3,22,20,0,40,2,20
8947,Jet Airways,Mumbai,Hyderabad,non-stop,3210,9,6,19,35,21,5,1,30
4618,Air India,Kolkata,Banglore,2 stops,11883,6,5,5,50,12,0,30,10
1093,Jet Airways,Mumbai,Hyderabad,non-stop,3210,15,6,19,35,21,5,1,30
278,Air India,Delhi,Cochin,1 stop,8991,9,3,20,30,8,15,11,45
10587,Multiple carriers,Delhi,Cochin,1 stop,6148,27,3,7,0,13,20,6,20
9051,Jet Airways,Delhi,Cochin,2 stops,10368,6,6,9,40,19,0,9,20
2547,Jet Airways,Kolkata,Banglore,1 stop,13067,6,5,9,35,19,10,9,35
906,Vistara,Banglore,Delhi,non-stop,5403,3,4,9,45,12,35,2,50
9357,Jet Airways,Kolkata,Banglore,1 stop,10844,12,5,14,5,20,45,6,40
8084,Air India,Kolkata,Banglore,1 stop,10203,6,5,20,30,20,25,23,55
1131,IndiGo,Kolkata,Banglore,non-stop,4148,15,3,9,35,12,20,2,45
960,SpiceJet,Mumbai,Hyderabad,non-stop,2175,1,6,13,15,14,45,1,30
8871,Air India,Kolkata,Banglore,2 stops,9920,1,4,16,45,8,55,16,10
10645,Multiple carriers,Delhi,Cochin,1 stop,17057,3,3,7,5,15,30,8,25
7194,Air India,Kolkata,Banglore,non-stop,6245,1,4,14,15,16,45,2,30
5064,Air India,Delhi,Cochin,2 stops,13591,6,6,20,15,19,15,23,0
2270,IndiGo,Banglore,Delhi,non-stop,4823,27,4,20,0,22,50,2,50
2147,Multiple carriers,Delhi,Cochin,1 stop,8266,12,6,11,40,19,15,7,35
7922,IndiGo,Delhi,Cochin,1 stop,6442,21,5,11,55,18,10,6,15
345,IndiGo,Kolkata,Banglore,non-stop,4804,6,6,22,15,0,50,2,35
4379,IndiGo,Delhi,Cochin,1 stop,6493,3,6,17,5,22,25,5,20
801,IndiGo,Banglore,Delhi,non-stop,3419,1,6,22,10,1,0,2,50
1256,Jet Airways,Kolkata,Banglore,1 stop,14151,18,5,9,35,10,55,25,20
5672,Multiple carriers,Delhi,Cochin,1 stop,12192,27,6,10,0,19,0,9,0
8631,Jet Airways,Delhi,Cochin,2 stops,15129,18,5,23,5,12,35,13,30
9360,IndiGo,Delhi,Cochin,1 stop,6442,15,5,7,35,16,10,8,35
1993,Multiple carriers,Delhi,Cochin,1 stop,7408,12,6,13,0,21,0,8,0
3429,IndiGo,Delhi,Cochin,1 stop,6069,27,6,16,0,21,0,5,0
5333,Vistara,Kolkata,Banglore,1 stop,9345,15,5,7,10,23,25,16,15
8138,Air India,Delhi,Cochin,2 stops,10975,15,6,9,45,9,25,23,40
828,Jet Airways,Banglore,Delhi,non-stop,4544,1,4,6,0,8,45,2,45
1583,Jet Airways,Kolkata,Banglore,1 stop,9663,9,5,21,10,10,5,12,55
2132,SpiceJet,Mumbai,Hyderabad,non-stop,2227,12,5,13,15,14,45,1,30
7909,Jet Airways,Kolkata,Banglore,1 stop,12739,12,6,6,30,4,40,22,10
10562,Vistara,Kolkata,Banglore,1 stop,8452,1,5,7,10,9,5,25,55
5638,Jet Airways,Delhi,Cochin,1 stop,12557,21,3,17,30,18,50,25,20
5280,Vistara,Kolkata,Banglore,1 stop,9345,15,5,20,20,18,50,22,30
8982,Multiple carriers,Delhi,Cochin,1 stop,8266,9,5,7,30,19,15,11,45
3312,Jet Airways,Kolkata,Banglore,1 stop,14914,24,3,21,10,10,5,12,55
3941,IndiGo,Delhi,Cochin,1 stop,6147,24,6,17,5,22,15,5,10
6646,Multiple carriers,Delhi,Cochin,1 stop,13587,6,6,8,0,21,0,13,0
10452,Jet Airways,Delhi,Cochin,2 stops,8882,27,3,19,10,19,45,24,35
165,Jet Airways,Delhi,Cochin,1 stop,12898,27,5,13,0,4,25,15,25
2665,Jet Airways,Delhi,Cochin,1 stop,12373,18,5,19,45,12,35,16,50
10303,IndiGo,Delhi,Cochin,1 stop,6386,12,6,2,0,7,45,5,45
5754,SpiceJet,Chennai,Kolkata,non-stop,3543,6,5,17,45,20,5,2,20
6866,Jet Airways,Delhi,Cochin,1 stop,6542,15,4,14,0,19,0,5,0
7164,Jet Airways,Delhi,Cochin,1 stop,6068,27,3,8,0,18,50,10,50
8297,Vistara,Banglore,Delhi,non-stop,4878,12,6,19,30,22,15,2,45
7669,SpiceJet,Kolkata,Banglore,non-stop,5725,24,3,22,20,0,40,2,20
9732,Multiple carriers,Delhi,Cochin,1 stop,15077,6,3,6,40,19,15,12,35
6334,SpiceJet,Banglore,Delhi,non-stop,3919,24,4,9,30,12,20,2,50
3927,Multiple carriers,Delhi,Cochin,1 stop,8099,27,6,9,15,19,15,10,0
2893,SpiceJet,Kolkata,Banglore,non-stop,3841,24,5,22,20,0,40,2,20
9983,SpiceJet,Kolkata,Banglore,non-stop,3873,3,6,9,0,11,25,2,25
5210,SpiceJet,Mumbai,Hyderabad,non-stop,2017,24,5,22,45,0,15,1,30
7270,Jet Airways,Delhi,Cochin,1 stop,10262,1,6,13,0,4,25,15,25
4334,IndiGo,Chennai,Kolkata,non-stop,3540,6,6,5,15,7,40,2,25
8789,Jet Airways,Banglore,Delhi,non-stop,4544,18,5,15,15,18,10,2,55
9282,Jet Airways,Banglore,New Delhi,1 stop,10405,15,3,8,0,8,15,24,15
2805,Vistara,Chennai,Kolkata,non-stop,3687,27,6,7,5,9,20,2,15
